binomial,species_wfo,flag
Fraxinus pennsylvanica,Fraxinus pennsylvanica,0
Fraxinus velutina,Fraxinus velutina,0
Galenia africana,Galenia africana,0
Galium boreale,Galium boreale,0
Genista germanica,Genista germanica,0
Genista radiata,Genista radiata,0
Genista tinctoria,Genista tinctoria,0
Ginkgo biloba,Ginkgo biloba,0
Gironniera subaequalis,Gironniera subaequalis,0
Gleditsia triacanthos,Gleditsia triacanthos,0
Gompholobium tomentosum,Gompholobium tomentosum,0
Gossypium arboreum,Gossypium arboreum,0
Goupia glabra,Goupia glabra,0
Graffenrieda emarginata,Graffenrieda emarginata,0
Grayia spinosa,Grayia spinosa,0
Grevillea robusta,Grevillea robusta,0
Grewia monticola,Grewia monticola,0
Grewia optiva,Grewia optiva,0
Guaiacum angustifolium,Guaiacum angustifolium,0
Guibourtia coleosperma,Guibourtia coleosperma,0
Guiera senegalensis,Guiera senegalensis,0
Gutierrezia microcephala,Gutierrezia microcephala,0
Gutierrezia sarothrae,Gutierrezia sarothrae,0
Gymnocarpos decander,Gymnocarpos decander,0
Halocnemum strobilaceum,Halocnemum strobilaceum,0
Halostachys belangeriana,Halostachys belangeriana,0
Halothamnus acutifolius,Halothamnus acutifolius,0
Halothamnus subaphyllus,Halothamnus subaphyllus,0
Haloxylon ammodendron,Haloxylon ammodendron,0
Haloxylon persicum,Haloxylon persicum,0
Haloxylon salicornicum,Haloxylon salicornicum,0
Haloxylon scoparium,Haloxylon scoparium,0
Haloxylon tamariscifolium,Haloxylon tamariscifolium,0
Haplophyllum tuberculatum,Haplophyllum tuberculatum,0
Helianthemum lippii,Helianthemum lippii,0
Heliotropium pycnophyllum,Heliotropium pycnophyllum,0
Heliotropium rotundifolium,Heliotropium rotundifolium,0
Hemiandra pungens,Hemiandra pungens,0
Henophyton deserti,Henophyton deserti,0
Hertia pallens,Hertia pallens,0
Heteromeles arbutifolia,Heteromeles arbutifolia,0
Hibbertia aurea,Hibbertia aurea,0
Hibbertia helianthemoides,Hibbertia helianthemoides,0
Hibbertia huegelii,Hibbertia huegelii,0
Hibbertia hypericoides,Hibbertia hypericoides,0
Hibbertia sericea,Hibbertia sericea,0
Hibbertia stricta,Hibbertia stricta,0
Hibbertia subvaginata,Hibbertia subvaginata,0
Himatanthus articulatus,Himatanthus articulatus,0
Hirpicium alienatum,Hirpicium alienatum,0
Hirtella triandra,Hirtella triandra,0
Humiria balsamifera,Humiria balsamifera,0
Hybanthus prunifolius,Hybanthus prunifolius,0
Hydrangea paniculata,Hydrangea paniculata,0
Hymenocardia acida,Hymenocardia acida,0
Hymenoxys richardsonii,Hymenoxys richardsonii,0
Hyoscyamus muticus,Hyoscyamus muticus,0
Hypocalymma angustifolium,Hypocalymma angustifolium,0
Hyptis atrorubens,Hyptis atrorubens,0
Ilex aquifolium,Ilex aquifolium,0
Ilex crenata,Ilex crenata,0
Indigofera ruspolii,Indigofera ruspolii,0
Indigofera spinosa,Indigofera spinosa,0
Iphiona rotundifolia,Iphiona rotundifolia,0
Ipomoea leptophylla,Ipomoea leptophylla,0
Isoberlinia angolensis,Isoberlinia angolensis,0
Isocoma tenuisecta,Isocoma tenuisecta,0
Jacaranda decurrens,Jacaranda decurrens,0
Jamesbrittenia albiflora,Jamesbrittenia albiflora,0
Jatropha curcas,Jatropha curcas,0
Juglans cinerea,Juglans cinerea,0
Juglans microcarpa,Juglans microcarpa,0
Juglans nigra,Juglans nigra,0
Juglans regia,Juglans regia,0
Julbernardia globiflora,Julbernardia globiflora,0
Julbernardia paniculata,Julbernardia paniculata,0
Juniperus ashei,Juniperus ashei,0
Juniperus chinensis,Juniperus chinensis,0
Juniperus communis,Juniperus communis,0
Juniperus monosperma,Juniperus monosperma,0
Juniperus phoenicea,Juniperus phoenicea,0
Juniperus procumbens,Juniperus procumbens,0
Juniperus rigida,Juniperus rigida,0
Juniperus sabina,Juniperus sabina,0
Juniperus scopulorum,Juniperus scopulorum,0
Juniperus semiglobosa,Juniperus semiglobosa,0
Juniperus taxifolia,Juniperus taxifolia,0
Juniperus virginiana,Juniperus virginiana,0
Kalidium gracile,Kalidium gracile,0
Kalmia angustifolia,Kalmia angustifolia,0
Keteleeria davidiana,Keteleeria davidiana,0
Kickxia aegyptiaca,Kickxia aegyptiaca,0
Kirkia acuminata,Kirkia acuminata,0
Koeberlinia spinosa,Koeberlinia spinosa,0
Krameria lanceolata,Krameria lanceolata,0
Krameria parvifolia,Krameria parvifolia,0
Krascheninnikovia ceratoides,Krascheninnikovia ceratoides,0
Krascheninnikovia ewersmanniana,Krascheninnikovia ewersmanniana,0
Laburnum alpinum,Laburnum alpinum,0
Lannea humilis,Lannea humilis,0
Lantana camara,Lantana camara,0
Larix decidua,Larix decidua,0
Larix kaempferi,Larix kaempferi,0
Larix laricina,Larix laricina,0
Larix occidentalis,Larix occidentalis,0
Larix sibirica,Larix sibirica,0
Larrea divaricata,Larrea divaricata,0
Larrea tridentata,Larrea tridentata,0
Lavandula stoechas,Lavandula stoechas,0
Lechenaultia floribunda,Lechenaultia floribunda,0
Ledum palustre,Ledum palustre,0
Leptadenia pyrotechnica,Leptadenia pyrotechnica,0
Leptospermum myrsinoides,Leptospermum myrsinoides,0
Leucadendron laureolum,Leucadendron laureolum,0
Leucadendron salignum,Leucadendron salignum,0
Leucaena leucocephala,Leucaena leucocephala,0
Leucopogon conostephioides,Leucopogon conostephioides,0
Leucopogon costatus,Leucopogon costatus,0
Leucopogon sprengelioides,Leucopogon sprengelioides,0
Leucopogon woodsii,Leucopogon woodsii,0
Licania incana,Licania incana,0
Ligustrum vulgare,Ligustrum vulgare,0
Linnaea borealis,Linnaea borealis,0
Liquidambar styraciflua,Liquidambar styraciflua,0
Loiseleuria procumbens,Loiseleuria procumbens,0
Lonicera tatarica,Lonicera tatarica,0
Lonicera xylosteum,Lonicera xylosteum,0
Lycium andersonii,Lycium andersonii,0
Lycium berlandieri,Lycium berlandieri,0
Lycium chilense,Lycium chilense,0
Lycium pallidum,Lycium pallidum,0
Lygos raetam,Lygos raetam,0
Machaeranthera pinnatifida,Machaeranthera pinnatifida,0
Maclura pomifera,Maclura pomifera,0
Magnolia virginiana,Magnolia virginiana,0
Malosma laurina,Malosma laurina,0
Malus baccata,Malus baccata,0
Malus domestica,Malus domestica,0
Malus sieversii,Malus sieversii,0
Malus sylvestris,Malus sylvestris,0
Mangifera indica,Mangifera indica,0
Manihot esculenta,Manihot esculenta,0
Markhamia obtusifolia,Markhamia obtusifolia,0
Marlierea montana,Marlierea montana,0
Marquesia macroura,Marquesia macroura,0
Mausolea eriocarpa,Mausolea eriocarpa,0
Melaleuca halmaturorum,Melaleuca halmaturorum,0
Melaleuca quinquenervia,Melaleuca quinquenervia,0
Melaleuca scabra,Melaleuca scabra,0
Melaleuca seriata,Melaleuca seriata,0
Melia azedarach,Melia azedarach,0
Menodora spinescens,Menodora spinescens,0
Metasequoia glyptostroboides,Metasequoia glyptostroboides,0
Miconia poeppigii,Miconia poeppigii,0
Milicia excelsa,Milicia excelsa,0
Millingtonia hortensis,Millingtonia hortensis,0
Mimosa tenuiflora,Mimosa tenuiflora,0
Mimulus aurantiacus,Mimulus aurantiacus,0
Moltkiopsis ciliata,Moltkiopsis ciliata,0
Morus alba,Morus alba,0
Morus rubra,Morus rubra,0
Mouriri elliptica,Mouriri elliptica,0
Mulinum spinosum,Mulinum spinosum,0
Mutisia retusa,Mutisia retusa,0
Myrtus communis,Myrtus communis,0
Nanophyton erinaceum,Nanophyton erinaceum,0
Nassauvia glomerulosa,Nassauvia glomerulosa,0
Nectandra ambigens,Nectandra ambigens,0
Nemcia capitata,Nemcia capitata,0
Nitraria sibirica,Nitraria sibirica,0
Noaea mucronata,Noaea mucronata,0
Nolana mollis,Nolana mollis,0
Nolina texana,Nolina texana,0
Nolletia chrysocomoides,Nolletia chrysocomoides,0
Nothofagus antarctica,Nothofagus antarctica,0
Nothofagus dombeyi,Nothofagus dombeyi,0
Ochna pulchra,Ochna pulchra,0
Ochradenus baccatus,Ochradenus baccatus,0
Ononis spinosa,Ononis spinosa,0
Ormosia costulata,Ormosia costulata,0
Ostrya carpinifolia,Ostrya carpinifolia,0
Ostrya virginiana,Ostrya virginiana,0
Otholobium fruticans,Otholobium fruticans,0
Oxytropis aciphylla,Oxytropis aciphylla,0
Packera cana,Packera cana,0
Parinari curatellifolia,Parinari curatellifolia,0
Parkia biglobosa,Parkia biglobosa,0
Paronychia jamesii,Paronychia jamesii,0
Parrotia persica,Parrotia persica,0
Parthenium argentatum,Parthenium argentatum,0
Parthenium incanum,Parthenium incanum,0
Peltophorum africanum,Peltophorum africanum,0
Penstemon ambiguus,Penstemon ambiguus,0
Penstemon glaber,Penstemon glaber,0
Pericopsis angolensis,Pericopsis angolensis,0
Petrophile linearis,Petrophile linearis,0
Philenoptera violacea,Philenoptera violacea,0
Phlox longifolia,Phlox longifolia,0
Photinia arbutifolia,Photinia arbutifolia,0
Phyllanthus emblica,Phyllanthus emblica,0
Phyllota pleurandroides,Phyllota pleurandroides,0
Phyllota remota,Phyllota remota,0
Picea abies,Picea abies,0
Picea alcoquiana,Picea alcoquiana,0
Picea glauca,Picea glauca,0
Picea jezoensis,Picea jezoensis,0
Picea koyamae,Picea koyamae,0
Picea mariana,Picea mariana,0
Picea maximowiczii,Picea maximowiczii,0
Picea pungens,Picea pungens,0
Picea schrenkiana,Picea schrenkiana,0
Picea sitchensis,Picea sitchensis,0
Picea smithiana,Picea smithiana,0
Pimelea octophylla,Pimelea octophylla,0
Pinus banksiana,Pinus banksiana,0
Pinus bungeana,Pinus bungeana,0
Pinus caribaea,Pinus caribaea,0
Pinus cembra,Pinus cembra,0
Pinus contorta,Pinus contorta,0
Pinus densiflora,Pinus densiflora,0
Pinus echinata,Pinus echinata,0
Pinus edulis,Pinus edulis,0
Pinus elliottii,Pinus elliottii,0
Pinus jeffreyi,Pinus jeffreyi,0
Pinus koraiensis,Pinus koraiensis,0
Pinus luchuensis,Pinus luchuensis,0
Pinus mugo,Pinus mugo,0
Pinus nigra,Pinus nigra,0
Pinus palustris,Pinus palustris,0
Pinus patula,Pinus patula,0
Pinus pinaster,Pinus pinaster,0
Pinus ponderosa,Pinus ponderosa,0
Pinus pumila,Pinus pumila,0
Pinus radiata,Pinus radiata,0
Pinus resinosa,Pinus resinosa,0
Pinus rigida,Pinus rigida,0
Pinus strobus,Pinus strobus,0
Pinus sylvestris,Pinus sylvestris,0
Pinus taeda,Pinus taeda,0
Pinus thunbergii,Pinus thunbergii,0
Pinus wallichiana,Pinus wallichiana,0
Piper cordulatum,Piper cordulatum,0
Piptadenia obliqua,Piptadenia obliqua,0
Piptadeniastrum africanum,Piptadeniastrum africanum,0
Piptomeris floribunda,Piptomeris floribunda,0
Piptomeris furcellata,Piptomeris furcellata,0
Pistacia atlantica,Pistacia atlantica,0
Pistacia lentiscus,Pistacia lentiscus,0
Pistacia vera,Pistacia vera,0
Platanus occidentalis,Platanus occidentalis,0
Platanus orientalis,Platanus orientalis,0
Platycelyphium voense,Platycelyphium voense,0
Platycladus orientalis,Platycladus orientalis,0
Plectrocarpa rougesii,Plectrocarpa rougesii,0
Pluchea sericea,Pluchea sericea,0
Podocarpus macrophyllus,Podocarpus macrophyllus,0
Populus alba,Populus alba,0
Populus angustifolia,Populus angustifolia,0
Populus balsamifera,Populus balsamifera,0
Populus deltoides,Populus deltoides,0
Populus euphratica,Populus euphratica,0
Populus fremontii,Populus fremontii,0
Populus grandidentata,Populus grandidentata,0
Populus nigra,Populus nigra,0
Populus pruinosa,Populus pruinosa,0
Populus tremula,Populus tremula,0
Populus tremuloides,Populus tremuloides,0
Populus trichocarpa,Populus trichocarpa,0
Potentilla concinna,Potentilla concinna,0
Potentilla fruticosa,Potentilla fruticosa,0
Potentilla gracilis,Potentilla gracilis,0
Potentilla nitida,Potentilla nitida,0
Prioria copaifera,Prioria copaifera,0
Prosopis caldenia,Prosopis caldenia,0
Prosopis chilensis,Prosopis chilensis,0
Prosopis cineraria,Prosopis cineraria,0
Prosopis farcta,Prosopis farcta,0
Prosopis flexuosa,Prosopis flexuosa,0
Prosopis glandulosa,Prosopis glandulosa,0
Prosopis juliflora,Prosopis juliflora,0
Prosopis tamarugo,Prosopis tamarugo,0
Prosopis velutina,Prosopis velutina,0
Protea neriifolia,Protea neriifolia,0
Protea repens,Protea repens,0
Protium heptaphyllum,Protium heptaphyllum,0
Prunus americana,Prunus americana,0
Prunus armeniaca,Prunus armeniaca,0
Prunus avium,Prunus avium,0
Prunus mahaleb,Prunus mahaleb,0
Prunus padus,Prunus padus,0
Prunus persica,Prunus persica,0
Prunus pumila,Prunus pumila,0
Prunus spinosa,Prunus spinosa,0
Prunus virginiana,Prunus virginiana,0
Pseudolachnostylis maprouneifolia,Pseudolachnostylis maprouneifolia,0
Pseudotsuga menziesii,Pseudotsuga menziesii,0
Psilostrophe cooperi,Psilostrophe cooperi,0
Psorothamnus scoparius,Psorothamnus scoparius,0
Psychotria chagrensis,Psychotria chagrensis,0
Psychotria furcata,Psychotria furcata,0
Psychotria horizontalis,Psychotria horizontalis,0
Psychotria limonensis,Psychotria limonensis,0
Psychotria marginata,Psychotria marginata,0
Pterocarpus angolensis,Pterocarpus angolensis,0
Pterocarpus lucens,Pterocarpus lucens,0
Pulicaria crispa,Pulicaria crispa,0
Purshia tridentata,Purshia tridentata,0
Pyrethrum achilleifolium,Pyrethrum achilleifolium,0
Pyrus pyraster,Pyrus pyraster,0
Quercus agrifolia,Quercus agrifolia,0
Quercus alba,Quercus alba,0
Quercus cerris,Quercus cerris,0
Quercus chrysolepis,Quercus chrysolepis,0
Quercus dentata,Quercus dentata,0
Quercus douglasii,Quercus douglasii,0
Quercus dumosa,Quercus dumosa,0
Quercus fusiformis,Quercus fusiformis,0
Quercus gambelii,Quercus gambelii,0
Quercus ilex,Quercus ilex,0
Quercus kelloggii,Quercus kelloggii,0
Quercus lobata,Quercus lobata,0
Quercus macrocarpa,Quercus macrocarpa,0
Quercus montana,Quercus montana,0
Quercus myrtifolia,Quercus myrtifolia,0
Quercus nigra,Quercus nigra,0
Quercus petraea,Quercus petraea,0
Quercus pubescens,Quercus pubescens,0
Quercus pyrenaica,Quercus pyrenaica,0
Quercus robur,Quercus robur,0
Quercus rotundifolia,Quercus rotundifolia,0
Quercus rubra,Quercus rubra,0
Quercus sinuata,Quercus sinuata,0
Quercus stellata,Quercus stellata,0
Quercus suber,Quercus suber,0
Quercus turbinella,Quercus turbinella,0
Quercus velutina,Quercus velutina,0
Quillaja saponaria,Quillaja saponaria,0
Radermachera sinica,Radermachera sinica,0
Retama raetam,Retama raetam,0
Retama sphaerocarpa,Retama sphaerocarpa,0
Retanilla ephedra,Retanilla ephedra,0
Rhamnus cathartica,Rhamnus cathartica,0
Rhanterium suaveolens,Rhanterium suaveolens,0
Rhigozum trichotomum,Rhigozum trichotomum,0
Rhododendron ferrugineum,Rhododendron ferrugineum,0
Rhododendron hirsutum,Rhododendron hirsutum,0
Rhodothamnus chamaecistus,Rhodothamnus chamaecistus,0
Rhus glabra,Rhus glabra,0
Rhus trilobata,Rhus trilobata,0
Ribes cereum,Ribes cereum,0
Robinia neomexicana,Robinia neomexicana,0
Robinia pseudoacacia,Robinia pseudoacacia,0
Rosa arkansana,Rosa arkansana,0
Rosa blanda,Rosa blanda,0
Rosa carolina,Rosa carolina,0
Rosa nutkana,Rosa nutkana,0
Rosa pimpinellifolia,Rosa pimpinellifolia,0
Rosa setigera,Rosa setigera,0
Rosa spinosissima,Rosa spinosissima,0
Rosa woodsii,Rosa woodsii,0
Rosmarinus officinalis,Rosmarinus officinalis,0
Rubus allegheniensis,Rubus allegheniensis,0
Rubus deliciosus,Rubus deliciosus,0
Rubus ulmifolius,Rubus ulmifolius,0
Salix alba,Salix alba,0
Salix amygdaloides,Salix amygdaloides,0
Salix babylonica,Salix babylonica,0
Salix caprea,Salix caprea,0
Salix cinerea,Salix cinerea,0
Salix daphnoides,Salix daphnoides,0
Salix glabra,Salix glabra,0
Salix nigra,Salix nigra,0
Salix purpurea,Salix purpurea,0
Salix repens,Salix repens,0
Salix reticulata,Salix reticulata,0
Salix retusa,Salix retusa,0
Salix serpyllifolia,Salix serpyllifolia,0
Salsola aphylla,Salsola aphylla,0
Salsola arbuscula,Salsola arbuscula,0
Salsola foetida,Salsola foetida,0
Salsola gemmascens,Salsola gemmascens,0
Salsola laricifolia,Salsola laricifolia,0
Salsola orientalis,Salsola orientalis,0
Salsola paletzkiana,Salsola paletzkiana,0
Salsola passerina,Salsola passerina,0
Salsola richteri,Salsola richteri,0
Salsola tetrandra,Salsola tetrandra,0
Salsola vermiculata,Salsola vermiculata,0
Salsola villosa,Salsola villosa,0
Salvia apiana,Salvia apiana,0
Salvia dorrii,Salvia dorrii,0
Salvia mellifera,Salvia mellifera,0
Salvia officinalis,Salvia officinalis,0
Sambucus nigra,Sambucus nigra,0
Sambucus racemosa,Sambucus racemosa,0
Sapium haematospermum,Sapium haematospermum,0
Sarcobatus vermiculatus,Sarcobatus vermiculatus,0
Sassafras officinale,Sassafras officinale,0
Schaefferia cuneifolia,Schaefferia cuneifolia,0
Schinus johnstonii,Schinus johnstonii,0
Schinziophyton rautanenii,Schinziophyton rautanenii,0
Sciadopitys verticillata,Sciadopitys verticillata,0
Sclerocarya birrea,Sclerocarya birrea,0
Sclerostegia tenuis,Sclerostegia tenuis,0
Scutellaria resinosa,Scutellaria resinosa,0
Secamone punctulata,Secamone punctulata,0
Securidaca longipedunculata,Securidaca longipedunculata,0
Senecio filaginoides,Senecio filaginoides,0
Senna armata,Senna armata,0
Senna spectabilis,Senna spectabilis,0
Sequoia sempervirens,Sequoia sempervirens,0
Serenoa repens,Serenoa repens,0
Seriphidium sublessingianum,Seriphidium sublessingianum,0
Shepherdia argentea,Shepherdia argentea,0
Shorea robusta,Shorea robusta,0
Sindora coriacea,Sindora coriacea,0
Sipanea pratensis,Sipanea pratensis,0
Smilax rotundifolia,Smilax rotundifolia,0
Smirnowia turkestana,Smirnowia turkestana,0
Sorbus aria,Sorbus aria,0
Sorbus aucuparia,Sorbus aucuparia,0
Sorbus chamaemespilus,Sorbus chamaemespilus,0
Sorbus domestica,Sorbus domestica,0
Sorbus torminalis,Sorbus torminalis,0
Sphaeralcea coccinea,Sphaeralcea coccinea,0
Sphaeralcea hastulata,Sphaeralcea hastulata,0
Spiraea hypericifolia,Spiraea hypericifolia,0
Spondias mombin,Spondias mombin,0
Spondias purpurea,Spondias purpurea,0
Staphylea pinnata,Staphylea pinnata,0
Steganotaenia araliacea,Steganotaenia araliacea,0
Stenosiphon linifolius,Stenosiphon linifolius,0
Stirlingia latifolia,Stirlingia latifolia,0
Strychnos cocculoides,Strychnos cocculoides,0
Strychnos innocua,Strychnos innocua,0
Strychnos pungens,Strychnos pungens,0
Stryphnodendron adstringens,Stryphnodendron adstringens,0
Styrax foveolaria,Styrax foveolaria,0
Suaeda asphaltica,Suaeda asphaltica,0
Suaeda divaricata,Suaeda divaricata,0
Suaeda microphylla,Suaeda microphylla,0
Suaeda palaestina,Suaeda palaestina,0
Suaeda physophora,Suaeda physophora,0
Sympegma regelii,Sympegma regelii,0
Symphoricarpos orbiculatus,Symphoricarpos orbiculatus,0
Symphoricarpos vulgaris,Symphoricarpos vulgaris,0
Symplocos cochinchinensis,Symplocos cochinchinensis,0
Syzygium guineense,Syzygium guineense,0
Tabebuia aurea,Tabebuia aurea,0
Tabebuia heterophylla,Tabebuia heterophylla,0
Tamarix aphylla,Tamarix aphylla,0
Tamarix gallica,Tamarix gallica,0
Tamarix ramosissima,Tamarix ramosissima,0
Tamarix taklamakanensis,Tamarix taklamakanensis,0
Taxodium distichum,Taxodium distichum,0
Taxus baccata,Taxus baccata,0
Taxus cuspidata,Taxus cuspidata,0
Tecomella undulata,Tecomella undulata,0
Tectona grandis,Tectona grandis,0
Terminalia brachystemma,Terminalia brachystemma,0
Terminalia mollis,Terminalia mollis,0
Terminalia sericea,Terminalia sericea,0
Ternstroemia punctata,Ternstroemia punctata,0
Tetradymia axillaris,Tetradymia axillaris,0
Tetragastris panamensis,Tetragastris panamensis,0
Tetragonia reduplicata,Tetragonia reduplicata,0
Thamnosma montana,Thamnosma montana,0
Thuja occidentalis,Thuja occidentalis,0
Thuja plicata,Thuja plicata,0
Thuja standishii,Thuja standishii,0
Thymelaea hirsuta,Thymelaea hirsuta,0
Tibouchina aspera,Tibouchina aspera,0
Tilia americana,Tilia americana,0
Tilia cordata,Tilia cordata,0
Tilia platyphyllos,Tilia platyphyllos,0
Torreya nucifera,Torreya nucifera,0
Toxicodendron radicans,Toxicodendron radicans,0
Trianthema hereroensis,Trianthema hereroensis,0
Tribulus zeyheri,Tribulus zeyheri,0
Trichilia tuberculata,Trichilia tuberculata,0
Trichostigma octandrum,Trichostigma octandrum,0
Triumfetta amuletum,Triumfetta amuletum,0
Tsuga canadensis,Tsuga canadensis,0
Tsuga heterophylla,Tsuga heterophylla,0
Tsuga sieboldii,Tsuga sieboldii,0
Uapaca kirkiana,Uapaca kirkiana,0
Uapaca nitida,Uapaca nitida,0
Ulex europaeus,Ulex europaeus,0
Ulmus americana,Ulmus americana,0
Ulmus crassifolia,Ulmus crassifolia,0
Ulmus glabra,Ulmus glabra,0
Ulmus laevis,Ulmus laevis,0
Ulmus minor,Ulmus minor,0
Ulmus pumila,Ulmus pumila,0
Ulmus rubra,Ulmus rubra,0
Vaccinium angustifolium,Vaccinium angustifolium,0
Vaccinium myrtilloides,Vaccinium myrtilloides,0
Vaccinium myrtillus,Vaccinium myrtillus,0
Vaccinium uliginosum,Vaccinium uliginosum,0
Vaccinium vitis-idaea,Vaccinium vitis-idaea,0
Viburnum lantana,Viburnum lantana,0
Viburnum opulus,Viburnum opulus,0
Vismia japurensis,Vismia japurensis,0
Vismia macrophylla,Vismia macrophylla,0
Vismia tomentosa,Vismia tomentosa,0
Vitellaria paradoxa,Vitellaria paradoxa,0
Vitis vulpina,Vitis vulpina,0
Weinmannia loxensis,Weinmannia loxensis,0
Whipplea modesta,Whipplea modesta,0
Xanthophyllum flavescens,Xanthophyllum flavescens,0
Xanthorrhoea australis,Xanthorrhoea australis,0
Yucca angustissima,Yucca angustissima,0
Yucca elata,Yucca elata,0
Yucca glauca,Yucca glauca,0
Yucca schidigera,Yucca schidigera,0
Zanthoxylum americanum,Zanthoxylum americanum,0
Zanthoxylum fagara,Zanthoxylum fagara,0
Zanthoxylum rigidum,Zanthoxylum rigidum,0
Zilla spinosa,Zilla spinosa,0
Zinnia acerosa,Zinnia acerosa,0
Zinnia grandiflora,Zinnia grandiflora,0
Ziziphus abyssinica,Ziziphus abyssinica,0
Ziziphus mucronata,Ziziphus mucronata,0
Ziziphus nummularia,Ziziphus nummularia,0
Ziziphus obtusifolia,Ziziphus obtusifolia,0
Ziziphus parryi,Ziziphus parryi,0
Zygophyllum clavatum,Zygophyllum clavatum,0
Zygophyllum coccineum,Zygophyllum coccineum,0
Zygophyllum dumosum,Zygophyllum dumosum,0
Zygophyllum prismatocarpum,Zygophyllum prismatocarpum,0
Zygophyllum xanthoxylon,Zygophyllum xanthoxylon,0
